factor,horizon,ic,ic_mean,ic_ir,n_samples,quality,p_value,significant_bonf,significant_005,wf_consistency,wf_all_same_sign,decay_status,ic_first_half,ic_second_half,logic
hour_cos,8,0.0107,0.0112,0.0757,66218,WEAK,0.01,False,True,0.6,False,stable,0.0082,0.0123,交易时段周期（余弦编码）
upper_shadow_ratio,1,0.0107,0.0123,0.1812,66218,WEAK,0.006,False,True,0.6,False,stable,0.0176,0.0051,上影线占比→卖压
MACD_hist,4,-0.0101,-0.0344,-0.2716,66218,WEAK,0.016,False,True,0.2,False,stable,-0.0133,-0.0065,MACD 柱状图动量
ROC_5,8,-0.0099,-0.0513,-0.4071,66218,WEAK,0.01,False,True,0.2,False,stable,-0.0133,-0.0071,5期变化率
momentum_5,8,-0.0099,-0.0513,-0.4071,66218,WEAK,0.01,False,True,0.2,False,stable,-0.0133,-0.0071,5期动量效应
momentum_5,4,-0.0095,-0.0374,-0.3471,66218,WEAK,0.012,False,True,0.6,False,stable,-0.0117,-0.0079,5期动量效应
ROC_5,4,-0.0095,-0.0374,-0.3471,66218,WEAK,0.012,False,True,0.6,False,stable,-0.0117,-0.0079,5期变化率
momentum_20,1,-0.0093,-0.0449,-0.7266,66218,WEAK,0.014,False,True,0.6,False,stable,-0.0168,-0.0036,20期动量效应
RSI2,4,-0.0093,-0.0323,-0.3452,66218,WEAK,0.02,False,True,0.6,False,stable,-0.0123,-0.0075,超短期超买超卖，均值回归
close_ema100_dist,8,0.0088,-0.1371,-0.8324,66218,WEAK,0.028,False,True,0.2,False,stable,0.0079,0.0079,价格偏离EMA100的ATR标准化距离
MACD_hist_change,8,-0.0088,-0.0169,-0.1416,66218,WEAK,0.024,False,True,0.2,False,stable,-0.0042,-0.0119,MACD柱状图变化速度
upper_shadow_ratio,4,0.0083,0.009,0.1275,66218,WEAK,0.022,False,True,0.6,False,stable,0.0096,0.008,上影线占比→卖压
momentum_10,8,-0.0081,-0.066,-0.4406,66218,WEAK,0.046,False,True,0.6,False,stable,-0.0196,0.0014,10期动量效应
RSI2,8,-0.008,-0.0416,-0.4012,66218,WEAK,0.052,False,False,0.2,False,stable,-0.0098,-0.0073,超短期超买超卖，均值回归
upper_shadow_ratio,8,0.0077,0.0086,0.1194,66218,WEAK,0.052,False,False,0.6,False,stable,0.0102,0.0066,上影线占比→卖压
hour_cos,1,0.0074,0.0099,0.118,66218,WEAK,0.078,False,False,0.6,False,stable,0.0094,0.0057,交易时段周期（余弦编码）
body_range_ratio,1,0.0071,0.0072,0.1087,66218,WEAK,0.072,False,False,1.0,True,stable,0.0115,0.0025,K线实体占比→买卖力量确认
ATR_ratio,4,-0.0069,-0.0098,-0.0737,66218,WEAK,0.08,False,False,0.2,False,stable,-0.0096,-0.0042,波动率相对历史的扩张/收缩
KC_position,4,-0.0063,-0.0583,-0.5405,66218,WEAK,0.106,False,False,0.2,False,stable,-0.0101,-0.004,价格在Keltner通道中的位置
KC_breakout_strength,4,-0.0063,-0.0583,-0.5405,66218,WEAK,0.106,False,False,0.2,False,stable,-0.0101,-0.004,突破KC上轨的ATR标准化强度
MACD_hist_change,4,-0.0058,-0.0087,-0.0806,66218,WEAK,0.15,False,False,0.2,False,stable,-0.0054,-0.0062,MACD柱状图变化速度
close_ema100_dist,4,0.0054,-0.104,-0.8807,66218,WEAK,0.182,False,False,0.2,False,stable,0.0043,0.0046,价格偏离EMA100的ATR标准化距离
ATR_ratio,8,-0.0054,-0.0085,-0.0462,66218,WEAK,0.134,False,False,0.6,False,stable,-0.0028,-0.0073,波动率相对历史的扩张/收缩
ema9_ema21_cross,8,0.0053,-0.0833,-0.5049,66218,WEAK,0.176,False,False,0.2,False,stable,-0.006,0.0145,EMA9-EMA21交叉强度（ATR标准化）
momentum_20,8,0.0051,-0.0758,-0.5053,66218,WEAK,0.198,False,False,0.2,False,stable,-0.006,0.0142,20期动量效应
RSI14,4,-0.005,-0.0689,-0.6227,66218,WEAK,0.218,False,False,0.2,False,stable,-0.0077,-0.0037,标准超买超卖
ema9_ema21_cross,1,-0.005,-0.0438,-0.7287,66218,WEAK,0.194,False,False,0.6,False,stable,-0.011,-0.0007,EMA9-EMA21交叉强度（ATR标准化）
ATR_ratio,1,-0.005,-0.0062,-0.091,66218,WEAK,0.226,False,False,0.2,False,stable,-0.01,-0.0002,波动率相对历史的扩张/收缩
ATR_percentile,1,0.0049,0.0016,0.0252,66218,WEAK,0.2,False,False,0.6,False,stable,0.0032,0.0065,波动率聚类：高波动后趋势延续概率高
body_range_ratio,4,0.0046,0.0055,0.0835,66218,WEAK,0.262,False,False,0.6,False,stable,0.0084,0.0006,K线实体占比→买卖力量确认
ADX,1,0.0044,-0.0028,-0.0421,66218,WEAK,0.252,False,False,0.6,False,stable,0.0055,0.0034,趋势强度
hour_sin,1,-0.0036,-0.0027,-0.0441,66218,WEAK,0.402,False,False,0.6,False,stable,-0.0017,-0.0052,交易时段周期（正弦编码）
ADX,8,0.003,-0.0127,-0.0689,66218,WEAK,0.47,False,False,0.6,False,stable,0.0203,-0.0126,趋势强度
ADX,4,0.0025,-0.0103,-0.0786,66218,WEAK,0.5,False,False,0.6,False,stable,0.0107,-0.0052,趋势强度
body_range_ratio,8,0.0025,0.0015,0.0211,66218,WEAK,0.536,False,False,0.2,False,stable,0.0076,-0.0028,K线实体占比→买卖力量确认
close_ema100_dist,1,-0.0018,-0.0639,-1.0241,66218,WEAK,0.626,False,False,0.2,False,stable,-0.0075,0.0018,价格偏离EMA100的ATR标准化距离
ema9_ema21_cross,4,-0.0012,-0.0705,-0.5974,66218,WEAK,0.776,False,False,0.6,False,stable,-0.0086,0.0043,EMA9-EMA21交叉强度（ATR标准化）
KC_breakout_strength,8,-0.001,-0.0714,-0.4894,66218,WEAK,0.786,False,False,0.6,False,stable,-0.008,0.0043,突破KC上轨的ATR标准化强度
KC_position,8,-0.001,-0.0714,-0.4894,66218,WEAK,0.786,False,False,0.6,False,stable,-0.008,0.0043,价格在Keltner通道中的位置
RSI14,8,0.0009,-0.0831,-0.5492,66218,WEAK,0.832,False,False,0.6,False,stable,-0.0047,0.0049,标准超买超卖
MACD_hist,8,-0.0009,-0.0319,-0.19,66218,WEAK,0.844,False,False,0.2,False,stable,-0.0094,0.0069,MACD 柱状图动量
momentum_20,4,0.0005,-0.0632,-0.5643,66218,WEAK,0.914,False,False,0.6,False,stable,-0.006,0.006,20期动量效应
