timestamp,open,high,low,close
1577836800000,1516.915,1516.915,1516.915,1516.915
1577837700000,1516.915,1516.915,1516.915,1516.915
1577838600000,1516.915,1516.915,1516.915,1516.915
1577839500000,1516.915,1516.915,1516.915,1516.915
1577840400000,1516.915,1516.915,1516.915,1516.915
1577841300000,1516.915,1516.915,1516.915,1516.915
1577842200000,1516.915,1516.915,1516.915,1516.915
1577843100000,1516.915,1516.915,1516.915,1516.915
1577844000000,1516.915,1516.915,1516.915,1516.915
1577844900000,1516.915,1516.915,1516.915,1516.915
1577845800000,1516.915,1516.915,1516.915,1516.915
1577846700000,1516.915,1516.915,1516.915,1516.915
1577847600000,1516.915,1516.915,1516.915,1516.915
1577848500000,1516.915,1516.915,1516.915,1516.915
1577849400000,1516.915,1516.915,1516.915,1516.915
1577850300000,1516.915,1516.915,1516.915,1516.915
1577851200000,1516.915,1516.915,1516.915,1516.915
1577852100000,1516.915,1516.915,1516.915,1516.915
1577853000000,1516.915,1516.915,1516.915,1516.915
1577853900000,1516.915,1516.915,1516.915,1516.915
1577854800000,1516.915,1516.915,1516.915,1516.915
1577855700000,1516.915,1516.915,1516.915,1516.915
1577856600000,1516.915,1516.915,1516.915,1516.915
1577857500000,1516.915,1516.915,1516.915,1516.915
1577858400000,1516.915,1516.915,1516.915,1516.915
1577859300000,1516.915,1516.915,1516.915,1516.915
1577860200000,1516.915,1516.915,1516.915,1516.915
1577861100000,1516.915,1516.915,1516.915,1516.915
1577862000000,1516.915,1516.915,1516.915,1516.915
1577862900000,1516.915,1516.915,1516.915,1516.915
1577863800000,1516.915,1516.915,1516.915,1516.915
1577864700000,1516.915,1516.915,1516.915,1516.915
1577865600000,1516.915,1516.915,1516.915,1516.915
1577866500000,1516.915,1516.915,1516.915,1516.915
1577867400000,1516.915,1516.915,1516.915,1516.915
1577868300000,1516.915,1516.915,1516.915,1516.915
1577869200000,1516.915,1516.915,1516.915,1516.915
1577870100000,1516.915,1516.915,1516.915,1516.915
1577871000000,1516.915,1516.915,1516.915,1516.915
1577871900000,1516.915,1516.915,1516.915,1516.915
1577872800000,1516.915,1516.915,1516.915,1516.915
1577873700000,1516.915,1516.915,1516.915,1516.915
1577874600000,1516.915,1516.915,1516.915,1516.915
1577875500000,1516.915,1516.915,1516.915,1516.915
1577876400000,1516.915,1516.915,1516.915,1516.915
1577877300000,1516.915,1516.915,1516.915,1516.915
1577878200000,1516.915,1516.915,1516.915,1516.915
1577879100000,1516.915,1516.915,1516.915,1516.915
1577880000000,1516.915,1516.915,1516.915,1516.915
1577880900000,1516.915,1516.915,1516.915,1516.915
1577881800000,1516.915,1516.915,1516.915,1516.915
1577882700000,1516.915,1516.915,1516.915,1516.915
1577883600000,1516.915,1516.915,1516.915,1516.915
1577884500000,1516.915,1516.915,1516.915,1516.915
1577885400000,1516.915,1516.915,1516.915,1516.915
1577886300000,1516.915,1516.915,1516.915,1516.915
1577887200000,1516.915,1516.915,1516.915,1516.915
1577888100000,1516.915,1516.915,1516.915,1516.915
1577889000000,1516.915,1516.915,1516.915,1516.915
1577889900000,1516.915,1516.915,1516.915,1516.915
1577890800000,1516.915,1516.915,1516.915,1516.915
1577891700000,1516.915,1516.915,1516.915,1516.915
1577892600000,1516.915,1516.915,1516.915,1516.915
1577893500000,1516.915,1516.915,1516.915,1516.915
1577894400000,1516.915,1516.915,1516.915,1516.915
1577895300000,1516.915,1516.915,1516.915,1516.915
1577896200000,1516.915,1516.915,1516.915,1516.915
1577897100000,1516.915,1516.915,1516.915,1516.915
1577898000000,1516.915,1516.915,1516.915,1516.915
1577898900000,1516.915,1516.915,1516.915,1516.915
1577899800000,1516.915,1516.915,1516.915,1516.915
1577900700000,1516.915,1516.915,1516.915,1516.915
1577901600000,1516.915,1516.915,1516.915,1516.915
1577902500000,1516.915,1516.915,1516.915,1516.915
1577903400000,1516.915,1516.915,1516.915,1516.915
1577904300000,1516.915,1516.915,1516.915,1516.915
1577905200000,1516.915,1516.915,1516.915,1516.915
1577906100000,1516.915,1516.915,1516.915,1516.915
